Age,Date,A,B,C,D,E
17,1993-07-25,,475.4,,1118.8,
32,2006-08-01,,,629.2,,612.4
31,2014-02-20,238.5,,454.4,,
40,1980-03-04,,,1420.5,,
22,1988-09-21,907.0,500.3,,,974.7
59,1997-04-13,,433.2,,916.5,
56,2002-12-28,486.6,,717.7,,672.7
54,2012-03-07,324.9,,,496.6,550.3
54,1986-08-01,901.8,499.7,1134.0,,
64,2011-02-05,,250.3,,,548.3
16,1982-02-26,917.2,607.6,,1449.6,1056.6
18,2020-02-08,124.5,156.4,,,384.9
31,2016-05-28,189.9,203.7,441.6,,429.1
53,2006-10-19,,,709.3,,
44,2011-04-08,327.4,251.6,512.4,524.4,
60,1970-12-14,,,1666.2,1609.9,1271.6
27,2003-09-22,,,765.6,,615.7
43,1977-02-17,1042.6,,,1711.2,
49,1990-08-25,810.1,,,1042.1,
18,2009-12-27,,295.8,549.9,519.4,
64,1987-06-16,,,1174.0,1214.7,
38,1999-11-23,540.0,395.2,896.1,917.8,
59,1982-05-27,,649.9,,,
56,1976-10-25,1156.1,638.0,,1732.4,1064.1
17,2006-03-22,429.0,319.7,717.2,,611.1
50,2006-11-09,,329.8,,,646.0
43,1991-12-31,726.2,450.0,992.5,1014.9,
21,2013-05-27,,,537.8,421.9,531.4
43,2011-07-17,314.3,282.8,,,
47,1970-06-09,,,1830.3,1613.2,
15,1977-08-12,1044.9,,1604.4,1650.1,1080.0
22,2006-08-25,458.5,334.5,,,
15,1998-05-19,599.4,401.3,,,
29,1999-12-04,,403.4,,,719.4
56,1978-10-28,,606.1,1416.7,,
55,1975-07-04,,,1591.9,,1027.8
62,2016-01-19,,,428.1,382.2,
37,1980-09-17,1020.3,672.6,,1574.1,
18,1975-11-14,1223.7,,,1776.4,
61,2006-08-11,468.0,346.0,625.8,611.2,
49,1980-04-01,1105.7,648.5,1533.3,,1120.6
39,1995-02-14,713.8,,921.3,1063.3,
34,1994-12-12,,457.0,,1069.5,848.7
42,1996-10-22,,,1032.1,,730.8
26,2010-02-20,,272.1,,520.4,597.2
26,1979-05-03,,608.2,,1357.2,949.6
54,1978-08-07,1167.4,,,,1159.6
64,1987-04-23,,,1254.9,,952.3
26,1998-03-25,656.3,,,878.0,757.0
16,2000-03-16,,,,881.6,690.1
21,2002-10-15,,,722.0,773.7,
23,1983-03-25,1016.3,614.9,1218.4,,959.5
20,1995-07-18,647.9,479.1,,,
23,1996-09-30,,,,879.2,
62,1987-04-19,,582.6,1238.7,1176.8,
56,2012-11-18,316.3,258.6,,,540.4
33,1998-05-11,,,901.4,,760.8
27,1985-06-25,,582.7,,1208.8,913.4
32,1982-07-08,1079.3,557.0,1444.7,,915.7
55,2008-11-28,,316.0,,,
55,2004-10-06,,,683.2,776.8,
62,2002-08-19,,,750.0,,741.7
50,1976-05-21,1236.0,,,1581.0,
64,2019-05-14,,,,,401.4
28,1988-01-27,832.7,551.0,1122.5,,865.9
63,2004-04-15,463.7,,,,676.1
36,1970-12-22,,,1520.5,1859.1,1222.9
28,1993-02-11,795.0,500.9,1123.1,,
48,1987-08-09,,541.4,,1250.5,930.1
20,2004-10-02,442.0,,774.6,,620.4
56,1994-10-01,,482.7,,,744.8
15,1982-01-20,,,1274.9,,1101.6
38,2000-04-23,609.1,415.3,932.1,922.3,757.5
56,1977-12-03,1011.9,662.7,,,
53,1986-09-29,,,1237.3,1294.0,864.4
26,1981-02-24,,621.4,1285.4,1395.7,1021.8
66,2003-06-09,519.1,340.9,721.5,,
48,2019-01-22,143.1,159.7,,,
29,1980-09-19,,,1544.9,1493.2,989.9
35,1985-09-24,,586.5,1161.5,,984.5
51,2008-06-02,393.2,312.6,,,574.3
42,2016-02-11,,,,,481.6
29,1983-01-21,1026.9,,,1488.2,
18,1985-04-27,919.7,,1178.6,1340.7,968.8
60,2012-05-18,331.2,275.3,,,
62,1996-07-22,,469.5,,925.8,728.9
44,2000-06-16,,,,,749.4
55,1983-06-06,,536.9,,1344.1,
61,1985-01-19,,584.3,1336.1,1229.7,
47,1970-02-17,1330.6,688.1,,,1262.6
46,1981-05-31,1012.0,633.1,1353.7,,1108.1
43,1998-12-14,,,952.9,917.9,
22,1974-07-02,1283.5,,,1703.9,1205.0
35,1991-11-22,,,,,920.6
29,2011-02-13,349.0,291.6,,538.6,601.3
61,2004-08-29,454.1,,,,
54,1975-10-24,1056.6,665.7,1389.0,1655.6,
29,1970-10-12,,712.9,,1710.6,
66,1997-08-11,639.3,460.5,1027.9,,700.4
56,1982-11-29,936.1,,,1460.5,
26,2000-08-19,628.1,,,,
23,2017-05-14,168.8,206.8,395.3,316.2,
39,1979-06-23,,644.5,,1390.1,1117.5
15,2001-02-02,535.0,381.9,793.5,830.0,767.6
32,2008-08-14,402.2,297.4,684.6,641.5,559.8
42,2018-11-16,,188.1,364.8,,
42,2015-02-16,250.5,206.0,,403.8,
48,1977-06-15,,672.1,,1470.3,
42,1974-11-18,,659.3,1535.2,1538.5,
41,2020-06-11,121.7,150.9,289.1,,421.7
55,2004-01-16,496.3,344.9,,713.6,601.2
28,1988-10-30,,,,1229.6,950.2
37,1975-02-28,1102.3,,1531.0,,
29,2000-06-16,606.7,,,779.2,694.8
22,2003-10-23,,,,,620.5
58,1984-11-15,966.9,,1414.0,,1003.4
42,1992-12-15,,498.7,,1153.4,
64,1971-10-08,1231.1,754.7,1785.8,1629.7,
43,1992-04-24,717.7,510.1,1065.3,1139.8,
24,1999-01-30,,,892.5,903.1,727.2
59,2015-12-09,,,,,519.0
24,1992-05-24,,460.8,,,812.2
61,1997-06-15,,405.4,879.7,,
59,2004-12-19,,,722.7,699.8,
45,2003-07-08,,,816.2,697.2,
56,2020-12-30,108.5,,320.5,216.2,365.5
34,1991-10-23,822.0,450.2,1201.6,,820.2
37,1970-11-21,1298.2,,,,1068.3
61,2007-10-22,,293.0,683.7,660.0,605.7
45,1983-08-15,,591.7,,1466.3,1020.8
26,1986-12-25,,,,1143.4,875.9
65,1970-06-12,,,1750.4,1715.0,1159.9
67,1998-10-05,,414.5,,835.0,
47,1988-03-24,842.7,,1158.5,,
52,1974-12-11,,,1617.3,1669.9,
26,1972-06-07,1235.3,652.3,,,1259.8
16,2003-01-08,,390.5,,,621.4
25,2012-06-01,,271.9,502.5,477.9,
39,1982-09-11,995.1,655.4,,1282.4,
46,1995-06-18,652.9,,980.5,,
25,1973-01-11,,,1621.9,1818.2,
49,1990-11-18,,,1036.0,1243.4,
55,2012-06-16,,227.5,507.8,,
24,1980-09-07,,,1304.8,1471.9,
64,2012-04-21,,246.9,,,
42,1972-10-14,,720.9,,1857.0,
53,2017-10-28,171.4,168.6,,275.7,
19,1990-08-18,,,,,886.2
23,2006-04-08,,,646.1,608.9,586.6
49,1980-03-02,962.4,,,1497.9,1089.8
16,1993-03-04,,498.1,,,
48,1993-05-17,734.0,,,,
39,1970-01-13,1188.9,759.0,1713.5,,
56,2014-11-22,260.8,236.5,,394.4,
37,1979-08-29,,,,,1066.3
33,2020-02-14,,,,,375.6
53,1980-11-20,,,1537.8,,
40,1982-12-02,950.2,,1277.3,1437.0,
60,1971-06-15,,,,1591.9,
25,2018-01-09,,180.5,,,
25,2016-11-19,210.9,210.2,432.4,,456.0
15,2000-12-03,548.6,,781.9,,
46,1995-12-26,,432.7,,,
18,2012-05-31,,,,,549.7
19,2007-10-08,,300.3,689.0,,
28,1994-09-02,727.8,415.1,1053.5,1021.8,823.5
64,1975-10-20,,,1468.4,1712.4,
33,2019-07-18,,,,260.9,426.9
67,1992-04-14,,456.9,,,
50,1974-09-26,1264.1,703.2,,1546.0,
64,2002-07-11,,,,716.2,
48,1974-01-30,,647.1,1724.7,1735.8,1160.0
66,2008-01-06,402.2,,,,
28,1998-05-23,,391.0,,,
50,2008-10-25,355.2,,,,633.4
44,2002-01-11,,361.2,,776.5,
39,1974-06-24,1172.1,,1514.9,,1179.0
27,2002-11-13,523.4,362.9,737.4,794.8,696.2
25,1989-09-10,912.6,,,1095.5,
25,2018-05-12,,,,,482.3
62,2008-03-28,,313.2,,,
46,2020-06-26,,167.0,344.1,219.2,388.1
56,1994-01-25,,,1139.2,1009.8,
59,2005-07-02,,,756.1,742.4,
33,1990-05-13,818.2,,,,
56,1979-06-16,1047.7,,,1543.2,
17,2012-12-12,,235.7,518.1,,
55,1989-05-03,,,1098.3,,910.7
61,2001-08-10,604.5,414.1,,797.6,694.4
43,1999-04-29,664.5,,886.4,887.0,
52,2007-04-06,,,687.9,,638.0
43,1976-06-29,1048.3,669.4,1592.4,,
44,1980-03-05,1049.5,,1437.9,1346.2,
47,2018-06-03,147.5,168.8,,,
18,1995-06-11,,,,1073.1,865.1
31,1980-09-05,,673.6,,,1100.7
27,1982-05-08,,,,1292.7,
23,2014-03-03,,216.6,,,520.5
16,2005-05-18,,,728.1,,
17,1993-12-24,,,1059.1,1083.8,
56,2018-05-31,,,,289.7,
19,2020-03-14,,,,231.0,
16,1973-04-25,1121.1,761.0,1688.8,1566.5,1119.9
58,1972-04-08,,740.9,,,1236.6
46,1973-01-25,1272.2,762.0,1548.1,,
53,2011-06-11,,,,490.3,517.4
59,2017-10-22,164.6,180.9,,,474.0
44,2003-01-17,,,,,692.7
20,1987-08-31,,,,1284.7,1005.8
49,2020-10-11,95.5,,282.7,,443.4
48,1993-03-25,,,1028.5,,
18,2009-11-15,,,566.6,559.4,556.4
43,1991-10-29,,,,,842.0
42,1977-09-30,,724.6,1528.0,1495.6,
61,2000-04-10,552.2,374.7,,,
30,2001-08-03,523.5,405.1,788.3,736.2,
64,1984-12-31,,573.5,,1372.2,
61,1979-11-18,1035.6,578.6,1302.0,1592.9,
65,1979-03-09,1105.9,,,,1020.5
36,2009-08-19,,,615.3,603.4,560.4
35,1971-10-20,,,,,1159.6
26,1988-09-10,,545.7,,1145.6,
22,1972-01-11,1347.8,,,,
16,1997-11-24,,446.9,,877.0,
56,2009-08-25,,,,,621.1
29,1986-12-13,881.9,550.6,,,
23,1987-07-31,920.6,,,,918.1
17,1994-12-31,,,,954.1,730.7
31,1992-04-05,,443.4,,1196.1,897.5
26,1998-05-09,630.2,,948.4,866.8,
29,1987-03-15,,543.4,,,949.1
23,2019-10-16,,179.6,,254.0,402.9
56,1986-06-29,861.9,,1365.5,,985.5
18,1970-10-14,,689.1,1525.0,1818.1,
27,2019-10-07,,172.0,352.7,245.8,428.4
29,2014-04-23,,,,420.5,496.9
37,2011-06-12,335.9,252.0,,,510.3
47,2014-06-22,228.4,204.6,468.6,,
16,1971-12-11,,791.6,1545.2,1580.4,1120.0
18,2011-02-05,,283.6,548.8,553.0,509.1
59,2003-12-08,537.8,339.7,821.3,748.7,713.9
20,1971-12-06,,,1488.8,1588.5,
65,2002-11-29,540.4,,749.2,,
54,1989-03-30,,,,,922.4
32,1989-09-30,853.3,549.3,1259.3,,
25,1974-04-27,1167.3,,,,1201.0
36,1971-06-18,,,,1814.9,
54,1991-10-26,842.7,,,1029.8,811.5
27,1999-12-17,579.2,380.2,963.7,880.5,
18,2018-09-09,168.8,,,,402.6
32,1973-05-06,1159.2,749.1,1552.1,1690.2,1190.2
31,2019-11-15,,164.9,,,
61,1995-08-18,,456.1,943.7,975.3,
29,1989-09-19,754.3,494.4,,,856.1
67,2016-01-04,,213.7,396.9,,
64,2013-01-17,,,,,486.4
43,1986-06-03,,,,1254.0,
40,1997-06-12,,,,,760.8
38,1992-02-25,,444.1,1047.1,1185.0,
46,1989-02-28,,,,1287.8,
31,1970-10-23,,788.1,,,1073.5
45,1990-04-05,878.3,,,,
34,2020-12-09,,,,,412.1
60,2020-03-15,,,336.4,,428.3
41,1989-08-13,,500.5,1277.6,,
65,2019-05-25,141.2,157.7,,,
60,1992-08-21,,497.8,1109.2,,794.9
57,2009-03-07,369.1,,656.4,544.8,591.2
28,2002-07-14,,368.2,820.0,,
60,2004-10-28,479.4,,,699.2,708.6
57,2010-06-04,371.3,,,542.0,555.4
54,1978-11-26,,,,1387.2,1128.0
21,1997-05-05,707.3,,1010.8,976.9,
30,1992-07-03,,509.2,,1044.4,904.8
24,2008-10-08,,,,632.2,
63,1984-12-20,894.2,628.5,1237.0,,916.1
53,1979-07-04,,,,1562.1,
37,1993-01-25,,,,,759.3
45,1971-01-05,1196.7,,1699.7,1677.0,
52,1973-07-02,,715.0,1466.0,1711.1,1136.3
36,2005-04-10,,,740.7,,699.6
47,1994-10-27,,,962.0,,858.5
40,1980-08-05,1057.6,,1536.3,,
25,2001-08-21,,,,882.6,651.2
40,1971-06-01,1299.5,,,1589.0,
22,1972-09-01,,,1533.4,,1174.2
33,2016-08-14,,193.8,,,
15,2017-07-16,192.0,182.3,370.5,,
54,1972-07-01,1318.0,,1536.5,,1257.4
23,1979-03-03,,605.9,,,
45,1978-09-13,,650.1,1572.8,,
46,2017-11-27,175.5,194.0,400.6,,475.3
43,1997-09-10,,,,1019.8,
24,2004-12-15,,,,,601.9
21,2000-10-14,,,,873.3,671.2
54,2010-10-17,,,580.6,553.1,
32,2004-11-01,,,,672.8,649.0
26,2015-07-04,241.4,235.5,,372.2,472.8
18,1975-12-18,,,1496.5,,
63,1973-10-08,1293.5,726.2,1616.7,1827.7,1136.1
27,1987-04-20,935.4,563.6,1265.6,1343.8,
26,1983-07-01,1044.6,602.4,1372.9,,
16,1980-02-15,,,1541.4,,
24,2014-04-07,258.2,225.0,,433.1,555.2
20,1976-07-16,,,1519.1,,1171.2
35,2003-08-29,483.9,363.5,,799.5,720.9
40,1972-08-13,1119.7,724.2,,,
56,2019-02-18,,,,267.4,431.4
51,2003-04-18,,370.1,796.5,828.4,722.9
37,1989-11-24,794.3,,1073.0,1205.2,
44,1990-07-28,,488.7,,,814.0
38,2002-07-05,,356.7,744.2,725.2,
19,1988-04-23,891.6,562.0,1094.8,1303.3,1001.6
31,1980-06-10,,,1466.8,,
23,2006-12-27,439.7,333.1,745.5,,619.2
25,1971-08-25,1309.0,,,,1074.1
31,2017-11-19,,182.6,,316.2,
19,1970-11-03,1387.3,,,1945.7,
29,2006-01-29,449.2,,715.4,679.2,667.9
29,2002-07-25,,367.5,,,
15,1973-08-20,,716.3,1503.7,1628.1,1055.7
37,1983-11-17,,640.8,1406.3,1402.6,
34,1978-03-28,1202.3,602.0,1541.5,,1095.7
54,2006-08-14,,,,,686.6
42,1997-09-18,,,,856.7,809.8
19,2005-10-27,468.1,309.1,666.8,712.6,
62,2006-08-12,,,,,655.7
22,2012-11-05,279.4,,524.0,,575.6
46,1976-07-16,1134.0,611.0,,1466.0,
60,2006-07-11,,340.4,,,
38,2008-03-05,,,,,593.5
50,1980-10-31,,597.6,,,
22,1977-03-31,1072.7,,1590.5,,1019.1
58,1988-02-26,948.5,523.8,,,
22,1982-09-05,1045.5,,,1356.0,1065.5
36,1971-07-13,,724.1,,,1252.8
43,2004-05-19,496.6,358.1,,,706.7
52,1974-06-11,,732.5,1513.5,1680.9,
57,1976-03-04,1210.0,738.5,,1756.2,
64,1984-11-05,,,,1266.4,
37,1971-07-08,1209.2,,1658.4,1811.9,1269.0
15,2020-07-13,109.5,,282.0,233.7,389.8
40,2007-05-30,,314.1,,564.9,555.7
50,2003-07-17,479.8,357.8,756.6,,650.4
36,1981-08-13,,563.3,,,
45,2015-12-09,206.5,192.3,430.5,329.9,459.2
56,1972-05-12,,,,1851.2,1171.3
14,1994-06-05,793.1,448.9,,,
63,1995-07-04,,,,,745.1
59,1988-01-26,922.3,583.5,,,
59,1980-08-24,1137.7,647.0,1288.7,,
51,1997-04-27,,,,919.5,
28,1983-05-03,,,1225.5,,
66,1997-01-26,,,,872.9,847.6
61,1985-08-10,,,1372.2,,927.0
62,1982-11-26,,627.0,1263.6,1479.3,993.6
34,2002-11-15,554.7,369.7,856.3,746.9,
21,2002-04-21,,347.1,875.2,820.4,
27,1989-08-11,,474.8,,1236.4,
53,1998-12-16,,,,894.3,733.5
52,2011-06-30,297.3,243.3,,524.3,506.5
39,1974-08-27,1280.5,634.4,,1507.5,
20,1984-03-28,,,,,1011.7
64,1994-01-24,662.1,454.2,,1036.5,880.4
23,2004-08-26,,,,,595.0
66,1993-01-12,823.9,466.4,1033.3,,872.8
26,1982-12-27,,,1307.6,,
59,2005-12-11,490.6,,723.6,,659.7
49,1983-06-15,917.6,,,1380.3,
22,2000-12-15,623.3,350.1,,901.9,
29,1982-03-31,,,1451.0,,934.9
65,1997-08-23,,383.3,,953.1,
19,2000-12-04,594.8,,,795.6,
33,1991-01-10,,,1074.8,1040.6,
14,1984-03-20,,614.6,1196.5,1408.5,904.5
38,1988-11-16,,576.3,,,929.6
34,1993-07-28,694.8,,,,859.5
61,1974-06-10,,,,,1124.6
41,1981-10-21,,,1480.6,,917.3
25,2006-07-20,436.8,333.4,752.6,,587.6
55,1992-07-03,698.5,509.4,,,
37,1991-05-15,,472.4,,,
32,2020-11-06,,146.8,282.8,195.5,383.6
30,1994-04-24,,,,,832.0
14,1997-08-20,670.2,,1032.8,,698.5
57,2012-03-07,307.5,,,523.1,
32,1985-08-13,,605.7,1255.7,1363.4,
46,1976-07-16,1039.1,,1587.9,1683.4,
39,2014-09-20,,216.4,,387.8,
64,1975-07-01,1095.7,,1426.6,1518.6,
58,2011-02-07,,,604.0,554.3,
54,2015-07-30,,,,403.8,
35,1999-05-03,,421.9,,,790.8
49,1991-07-05,,465.8,1102.3,1015.9,
60,1973-11-19,,,1449.7,,
25,1973-01-17,1190.3,736.3,1684.7,,1136.3
28,1985-04-07,,620.1,,,
36,1977-06-07,,644.7,,,1101.6
29,1997-01-06,,421.4,986.2,,
16,1995-09-11,,,,,848.1
35,1986-08-31,907.1,,,1386.7,
60,1981-11-20,970.2,610.6,1440.2,1428.9,
26,1978-11-13,1101.6,,,,1101.3
32,1994-09-29,713.5,500.0,963.6,,743.7
62,1984-04-18,,529.9,1277.7,,
54,1976-10-16,1188.0,685.9,,1432.0,
63,2002-12-25,,392.9,,,671.4
36,2017-10-06,,,367.1,,429.5
66,2002-12-19,530.0,,,819.7,
27,2001-08-01,590.2,406.4,845.1,,
22,1972-08-02,1127.3,,1771.2,1721.9,
63,1993-01-23,718.8,445.0,1121.3,,774.8
48,1982-02-08,1061.4,560.9,1349.8,1529.3,
46,2009-01-30,,,,613.4,
36,1999-09-21,,,,,691.0
38,1981-06-24,1021.9,,,,
22,1973-07-24,1172.4,,,,
21,2009-06-03,406.3,,,,632.7
61,1996-09-25,,,,,793.7
52,1986-01-07,880.1,581.2,,,
46,1997-07-21,605.0,,885.9,,
17,1971-07-08,,,,,1124.7
17,2014-01-20,,,,,547.4
16,2001-07-11,506.6,,,,
48,2020-08-09,,,,,407.2
30,1991-06-16,,482.0,,1147.5,947.2
16,1987-06-10,,,,1200.0,873.2
20,1975-02-09,1122.5,727.9,,1621.7,
17,1973-02-26,1103.8,,,,1057.3
64,2014-05-13,234.9,,,,469.0
28,1988-09-06,,523.9,,1207.9,949.4
57,1988-01-02,924.1,,,,
23,1980-10-29,1035.2,596.3,,1561.9,
31,2005-06-27,,,670.4,,613.1
51,2013-05-30,278.9,,545.0,411.6,528.0
57,1998-04-14,588.5,422.7,901.2,,
50,1991-08-18,,454.8,1050.7,,814.2
15,1983-09-26,1039.8,,1385.4,,
24,2019-08-26,142.2,,,,451.3
22,1986-06-05,,,1141.3,1313.0,867.7
42,2012-03-20,309.6,232.2,,,515.4
32,1981-02-24,1130.7,,1381.0,1514.0,1120.8
26,2020-03-10,108.0,,,216.7,394.8
67,1992-11-26,722.5,524.0,,,846.7
49,2010-01-11,,251.6,,509.5,532.1
64,1976-01-20,,,1631.7,,
32,1995-08-25,,422.3,,906.0,746.5
43,1977-10-30,1162.7,,1622.5,,988.5
23,1999-07-26,,,815.1,902.5,
21,1978-11-07,,708.1,,,960.5
27,2018-03-17,150.4,,,,441.7
62,2015-08-08,219.5,,465.1,,492.4
18,2014-01-19,262.1,246.4,,,544.0
27,1984-09-08,,579.6,,,
26,1982-02-25,960.1,,1344.3,,968.2
27,2007-11-17,,,,,648.3
20,1990-06-24,805.2,,,,841.6
66,1978-03-04,1201.8,,1426.2,1412.9,
58,2002-12-10,486.7,,,748.9,
61,1976-12-10,1031.1,608.3,1587.8,1570.0,994.0
42,2003-09-25,539.8,,,811.5,
34,1972-11-27,1352.7,,1763.0,,
32,2011-11-22,,,,504.7,
34,1992-05-06,829.2,510.7,1156.1,1124.6,
37,2007-10-23,,288.3,628.1,640.7,581.4
55,1980-01-17,,694.7,,,
33,2016-06-21,193.3,188.4,,,426.0
18,2011-12-23,281.4,,558.8,459.7,
44,1986-03-07,,580.7,,,910.0
23,1995-05-02,683.3,,,,799.8
51,2000-12-02,,412.8,853.9,,702.7
53,1973-06-27,,670.3,,,1245.7
60,2012-06-09,305.8,,,,
54,1989-11-28,,560.7,,1198.0,901.0
53,1978-04-15,,,1536.3,1406.3,
65,1980-03-10,,,1444.0,,
24,2002-08-11,485.2,385.1,762.5,,642.9
40,1976-04-06,1226.6,,,1642.2,
57,1997-01-12,,,894.3,1011.9,822.5
55,1970-10-20,,,1706.9,1857.5,
67,2020-09-27,107.8,162.3,332.8,,
31,2010-05-09,,285.9,,,558.6
39,1979-03-19,,606.2,1436.0,1383.6,1137.6
61,2000-08-27,592.7,424.0,,,
28,1990-04-12,,,,,804.4
63,1995-05-02,,,1064.1,994.0,
41,2010-01-11,,,549.3,,517.1
51,2003-08-14,501.3,353.6,,742.3,690.3
55,2012-01-17,315.6,,,459.6,529.1
16,2001-04-27,,,809.2,,
53,2009-08-30,377.8,270.4,623.4,,541.8
15,1989-04-14,,524.1,1144.2,,
52,1988-09-08,791.8,,1179.9,1257.4,
22,1973-02-23,,757.0,,,1086.4
58,2018-06-25,172.1,,,301.0,464.9
40,1995-01-18,,436.9,,,
41,2014-01-16,,237.8,470.3,,505.3
44,1998-11-11,609.6,,,,
25,2016-06-27,185.9,,420.7,327.0,
62,1989-06-27,898.2,,,1210.3,
27,1980-05-29,,571.7,1524.2,1553.8,1022.2
61,2019-05-08,147.3,,,231.5,
56,1985-06-19,,616.5,1169.3,,999.6
61,2018-02-27,,,358.4,,447.7
60,2008-01-24,,327.4,,,548.0
27,2012-12-28,260.8,241.5,548.1,447.1,
67,2003-04-18,,391.7,,820.6,626.1
27,2012-05-15,,,,,496.3
36,2005-08-04,422.8,327.6,742.0,,
53,1993-12-06,,486.6,,992.2,757.1
35,1985-03-12,,,,,1049.5
47,1996-08-26,,,1050.8,957.3,
50,2005-03-03,459.6,,664.4,629.5,689.9
42,1980-09-28,,,1396.5,1590.9,
44,1974-03-07,1291.7,,1632.6,1645.9,
26,2018-02-28,,,,278.9,
15,1990-04-14,,547.8,1204.3,,953.8
52,1992-02-02,789.8,498.9,1008.9,1062.0,
19,1983-03-06,1022.4,647.5,1268.4,,
66,2004-08-31,470.1,,,767.8,
41,1981-10-02,1019.6,,1334.9,1478.0,
20,2004-03-31,509.7,339.4,,,723.7
55,2008-11-24,,295.4,,580.1,
63,1975-04-07,1228.3,643.6,1591.3,1706.0,1046.1
35,1999-03-23,,435.7,880.7,,759.5
17,1978-05-04,,694.9,1565.6,,
62,1974-09-20,,,,1599.5,1196.6
37,2015-09-20,,201.1,414.6,336.0,468.4
14,2004-05-03,,,,,713.2
22,1990-10-20,,,1065.7,,
45,2006-11-05,,,,,584.1
31,2011-08-19,,,540.6,519.3,
25,1999-11-22,,,,,780.6
32,1999-02-23,619.7,,977.8,,
26,2011-05-22,356.0,,,,
17,1994-05-28,,,942.9,,825.4
31,1997-12-02,682.9,,892.3,,779.4
28,2005-02-01,,,,,598.9
23,2002-01-11,545.1,,,,
66,1981-03-20,1036.6,,1421.3,1380.6,1100.8
47,2010-11-20,323.8,275.5,,,529.4
21,1973-10-31,,655.1,1614.0,,1072.9
15,2020-08-22,,145.2,,,
59,2005-12-07,479.9,353.0,651.0,,
50,1989-05-24,920.9,,,,
45,1995-02-04,757.9,,1032.8,,863.5
52,1971-07-17,1223.7,,,,1066.1
22,1984-10-24,966.2,,1180.1,1202.3,
48,1981-08-01,949.3,,1460.9,1308.9,1101.0
43,1974-02-20,,,,1711.8,1180.2
44,2006-03-30,456.3,,774.9,,663.2
42,2020-07-16,,158.6,,227.0,385.2
59,1998-09-28,,405.7,990.0,919.8,750.4
47,1971-05-26,,,,1842.4,1123.3
33,1994-07-11,,417.6,1092.3,1110.9,
56,1987-11-26,922.6,,1317.2,,
63,2007-08-21,,283.4,,665.3,
63,2011-05-03,325.5,277.9,520.8,,496.8
62,1998-08-28,613.7,,,,798.0
67,1991-06-15,869.9,,1220.7,,922.0
46,1977-04-17,,607.1,1560.5,1474.6,1047.2
31,1972-08-06,,764.2,1596.4,1675.3,
53,1993-03-14,756.8,,1089.5,,
59,2010-11-27,,,,,566.7
36,1985-11-13,,616.3,,,
34,2001-10-16,,,863.9,,720.2
51,2009-07-02,366.0,,656.0,,615.3
37,1984-04-16,931.6,622.9,,,956.1
23,2008-11-23,403.5,,,,
66,2010-08-16,331.1,268.5,,,593.8
20,2010-06-25,338.1,249.4,,,571.6
34,1991-12-14,,536.8,,,813.1
23,1981-11-07,,587.8,,1570.4,
54,1991-12-24,727.0,,1163.4,1004.4,846.4
46,2017-10-24,183.8,,,308.1,
64,1997-06-30,,,,,785.5
52,2014-08-02,,234.2,,,543.9
31,2013-08-08,283.5,254.6,533.5,412.4,
34,1971-08-07,1189.6,,,1614.7,
42,2012-07-18,,261.1,514.3,479.5,
35,2010-06-12,,,547.3,539.5,565.7
36,1996-03-06,692.0,476.4,948.9,,
62,2017-01-16,,182.5,385.3,,489.9
34,1998-04-11,,,911.9,852.8,759.9
51,2001-06-01,559.9,,809.9,755.4,
64,2000-05-13,,,829.7,,716.6
35,1972-09-10,1198.9,,1738.7,1806.4,
50,2003-07-17,,,,732.9,619.5
28,2018-11-09,160.4,,,289.4,
36,2009-05-26,376.8,264.6,622.7,,608.4
16,2016-07-04,,197.4,400.8,,
62,2012-10-09,282.5,,,502.2,
61,1976-04-13,1211.5,,1452.4,,
19,2018-06-23,,171.8,,,
20,1975-08-10,,718.6,1566.4,1547.0,1144.5
14,1986-11-23,,544.3,,,
20,2003-03-15,561.0,,,728.1,632.2
33,1981-04-05,,,1444.4,1504.2,
36,2020-05-04,,,290.4,,
32,1989-01-28,845.5,,1128.0,1316.6,
60,2013-01-22,260.0,,507.6,481.6,480.7
44,1992-06-25,737.2,529.3,1077.8,,
61,2012-11-26,,,511.5,,
32,1989-05-20,799.0,,1131.2,1258.9,
64,2005-06-19,,359.2,666.9,701.3,
25,1991-04-16,,533.7,,,
20,1992-03-29,717.4,527.2,1190.1,1057.2,830.8
64,1997-11-06,610.1,392.3,883.1,913.7,775.5
67,2015-04-21,,216.5,434.4,,463.4
30,1998-03-16,,,,,780.5
22,1989-03-29,,535.2,1220.2,1172.2,
42,1994-04-08,,451.6,1014.1,,761.8
41,2000-11-18,574.2,,,,
34,2013-07-03,,214.6,531.0,,
59,2002-11-26,473.8,343.5,730.3,,
16,2013-11-17,272.2,224.1,,420.6,
36,1990-07-17,878.1,,1132.4,1229.6,
39,2009-06-26,,,,578.9,531.3
55,1988-12-01,797.7,527.1,,1298.1,971.6
27,2018-12-04,,,,,453.9
20,1974-03-02,1261.9,711.5,1595.4,1706.9,
60,2002-08-30,576.5,,,809.0,708.8
63,1997-03-28,,,,,815.8
41,1974-06-13,,,1500.2,1532.7,1083.4
37,1997-01-14,,437.2,1044.4,,
25,2019-07-10,127.8,,340.6,,
46,1999-04-02,668.0,,921.7,,754.8
49,1986-07-10,991.7,,,1408.4,1018.2
17,2019-02-16,,185.7,337.9,,
41,1977-01-22,,600.5,,,
15,1997-04-18,672.2,446.6,917.2,,
62,1996-08-20,,424.5,926.6,953.8,
